Destinazione               Partenza -> Arrivo
Asdf                             14 -> 16
Arezzo                           12 -> 13
Arezzo                           14 -> 15
Bari                             11 -> 13
Firenze                          13 -> 14
Firenze                          18 -> 19
Torino                           10 -> 11
Torino                           10 -> 12
Torino                           10 -> 13
Torino                           15 -> 16
Za                               10 -> 15
Za                               11 -> 13
Za                               12 -> 13
Za                               15 -> 19
